fecha,pala,horas_Operativo,horas_Demora,horas_Malogrado,horas_totales,disponibilidad_%,produccion_total,perdida_total,perdida_Demora,perdida_Malogrado
2025-01-01,SH001,24.0,0.0,0.0,24.0,100.0,141696.0,0.0,0.0,0.0
2025-01-01,SH002,18.75,2.38,2.87,24.0,78.12,110700.0,30996.0,14071.2,16924.8
2025-01-01,SH003,23.17,0.83,0.0,24.0,96.53,136776.0,4920.0,4920.0,0.0
2025-01-01,SH004,22.65,0.85,0.5,24.0,94.38,133725.6,7970.4,5018.4,2952.0
2025-01-01,SH005,17.35,3.3,3.35,24.0,72.29,102434.4,39261.6,19483.2,19778.4
2025-01-01,SH006,17.55,0.08,6.37,24.0,73.12,103615.2,38080.8,492.0,37588.8
2025-01-01,SH007,20.92,1.27,1.82,24.0,87.15,123492.0,18204.0,7478.4,10725.6
2025-01-01,SH008,21.52,0.32,2.17,24.0,89.65,127034.4,14661.6,1869.6,12792.0
2025-01-01,SH009,18.77,1.1,4.13,24.0,78.19,110798.4,30897.6,6494.4,24403.2
2025-01-01,SH010,21.0,0.73,2.27,24.0,87.5,123984.0,17712.0,4329.6,13382.4
2025-01-01,SH011,21.02,1.63,1.35,24.0,87.57,109286.67,15513.34,8493.34,7020.0
2025-01-01,SH012,19.67,3.25,1.08,24.0,81.94,102266.68,22533.34,16900.0,5633.34
2025-01-01,SH013,21.93,2.07,0.0,24.0,91.39,114053.32,10746.67,10746.67,0.0
2025-01-01,SH014,21.3,2.27,0.43,24.0,88.75,110760.0,14040.01,11786.67,2253.34
2025-01-01,SH015,19.5,3.28,1.22,24.0,81.25,101400.01,23400.01,17073.34,6326.67
2025-01-02,SH001,20.1,3.9,0.0,24.0,83.75,118670.4,23025.6,23025.6,0.0
2025-01-02,SH002,15.35,2.22,6.43,24.0,63.96,90626.4,51069.6,13087.2,37982.4
2025-01-02,SH003,22.63,0.9,0.47,24.0,94.31,133627.2,8068.8,5313.6,2755.2
2025-01-02,SH004,18.23,2.88,2.88,24.0,75.97,107649.6,34046.4,17023.2,17023.2
2025-01-02,SH005,20.18,2.5,1.32,24.0,84.1,119162.4,22533.6,14760.0,7773.6
2025-01-02,SH006,19.23,1.88,2.88,24.0,80.14,113553.6,28142.4,11119.2,17023.2
2025-01-02,SH007,20.72,1.68,1.6,24.0,86.32,122311.2,19384.8,9938.4,9446.4
2025-01-02,SH008,21.5,1.63,0.87,24.0,89.58,126936.0,14760.0,9643.2,5116.8
2025-01-02,SH009,19.27,4.57,0.17,24.0,80.28,113750.4,27945.6,26961.6,984.0
2025-01-02,SH010,20.58,2.73,0.68,24.0,85.76,121524.0,20172.0,16137.6,4034.4
2025-01-02,SH011,23.03,0.47,0.5,24.0,95.97,119773.35,5026.68,2426.67,2600.01
2025-01-02,SH012,19.08,4.92,0.0,24.0,79.51,99233.33,25566.67,25566.67,0.0
2025-01-02,SH013,19.92,2.68,1.4,24.0,82.99,103566.67,21233.32,13953.33,7279.99
2025-01-02,SH014,23.07,0.47,0.47,24.0,96.11,119946.67,4853.33,2426.66,2426.67
2025-01-02,SH015,20.78,2.05,1.17,24.0,86.6,108073.33,16726.67,10660.0,6066.67
2025-01-03,SH001,19.5,2.37,2.13,24.0,81.25,115128.0,26568.0,13972.8,12595.2
2025-01-03,SH002,21.98,2.02,0.0,24.0,91.6,129789.6,11906.4,11906.4,0.0
2025-01-03,SH003,22.98,1.02,0.0,24.0,95.76,135693.6,6002.4,6002.4,0.0
2025-01-03,SH004,17.0,2.32,4.68,24.0,70.83,100368.0,41328.0,13677.6,27650.4
2025-01-03,SH005,21.75,1.7,0.55,24.0,90.62,128412.0,13284.0,10036.8,3247.2
2025-01-03,SH006,20.23,1.87,1.9,24.0,84.31,119457.6,22238.4,11020.8,11217.6
2025-01-03,SH007,18.23,4.43,1.33,24.0,75.97,107649.6,34046.4,26174.4,7872.0
2025-01-03,SH008,21.37,0.6,2.03,24.0,89.03,126148.8,15547.2,3542.4,12004.8
2025-01-03,SH009,21.15,2.55,0.3,24.0,88.12,124869.6,16826.4,15055.2,1771.2
2025-01-03,SH010,21.7,2.3,0.0,24.0,90.42,128116.8,13579.2,13579.2,0.0
2025-01-03,SH011,17.2,1.5,5.3,24.0,71.67,89440.01,35360.0,7800.0,27560.0
2025-01-03,SH012,23.2,0.52,0.28,24.0,96.67,120639.99,4159.99,2686.66,1473.33
2025-01-03,SH013,21.03,2.15,0.82,24.0,87.64,109373.34,15426.67,11180.0,4246.67
2025-01-03,SH014,17.3,2.8,3.9,24.0,72.08,89960.01,34840.0,14560.0,20280.0
2025-01-03,SH015,20.87,2.13,1.0,24.0,86.94,108506.66,16293.33,11093.33,5200.0
2025-01-04,SH001,18.1,4.92,0.98,24.0,75.42,106862.4,34833.6,29028.0,5805.6
2025-01-04,SH002,21.67,2.17,0.17,24.0,90.28,127920.0,13776.0,12792.0,984.0
2025-01-04,SH003,22.53,1.47,0.0,24.0,93.89,133036.8,8659.2,8659.2,0.0
2025-01-04,SH004,22.1,1.42,0.48,24.0,92.08,130478.4,11217.6,8364.0,2853.6
2025-01-04,SH005,18.43,1.58,3.98,24.0,76.81,108830.4,32865.6,9348.0,23517.6
2025-01-04,SH006,19.07,1.45,3.48,24.0,79.44,112569.6,29126.4,8560.8,20565.6
2025-01-04,SH007,18.42,2.95,2.63,24.0,76.74,108732.0,32964.0,17416.8,15547.2
2025-01-04,SH008,21.1,2.73,0.17,24.0,87.92,124574.4,17121.6,16137.6,984.0
2025-01-04,SH009,22.17,0.42,1.42,24.0,92.36,130872.0,10824.0,2460.0,8364.0
2025-01-04,SH010,20.27,2.85,0.88,24.0,84.44,119654.4,22041.6,16826.4,5215.2
2025-01-04,SH011,17.22,2.55,4.23,24.0,71.74,89526.66,35273.34,13260.0,22013.34
2025-01-04,SH012,22.07,1.45,0.48,24.0,91.94,114746.68,10053.33,7540.0,2513.33
2025-01-04,SH013,22.9,0.45,0.65,24.0,95.42,119079.99,5720.0,2340.0,3380.0
2025-01-04,SH014,19.3,3.93,0.77,24.0,80.42,100360.0,24440.0,20453.33,3986.67
2025-01-04,SH015,24.0,0.0,0.0,24.0,100.0,124800.02,0.0,0.0,0.0
2025-01-05,SH001,18.2,3.43,2.37,24.0,75.83,107452.8,34243.2,20270.4,13972.8
2025-01-05,SH002,23.83,0.0,0.17,24.0,99.31,140712.0,984.0,0.0,984.0
2025-01-05,SH003,21.95,1.65,0.4,24.0,91.46,129592.8,12103.2,9741.6,2361.6
2025-01-05,SH004,21.13,2.53,0.33,24.0,88.06,124771.2,16924.8,14956.8,1968.0
2025-01-05,SH005,20.85,3.15,0.0,24.0,86.88,123098.4,18597.6,18597.6,0.0
2025-01-05,SH006,22.58,0.7,0.72,24.0,94.1,133332.0,8364.0,4132.8,4231.2
2025-01-05,SH007,20.35,3.4,0.25,24.0,84.79,120146.4,21549.6,20073.6,1476.0
2025-01-05,SH008,22.88,1.12,0.0,24.0,95.35,135103.2,6592.8,6592.8,0.0
